@RELATION elevation

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE elevation NUMERIC

@DATA
384.0,119.0,57
384.0,118.5,57
384.0,118.5,57
381.0,119.5,57
381.0,119.5,57
381.5,119.0,57
379.0,119.0,57
379.0,119.0,57
379.0,119.0,57
377.5,118.0,57
376.5,119.5,57
376.5,119.5,57
374.0,120.5,57
374.0,120.5,57
373.5,119.0,57
373.5,119.0,57
372.0,119.0,57
372.0,119.0,57
369.5,120.5,57
369.5,120.5,57
368.0,119.0,57
368.0,119.0,57
366.5,119.0,57
366.5,119.0,57
363.5,120.5,57
363.5,120.5,57
362.0,119.0,57
362.0,119.0,57
361.0,118.5,57
361.0,118.5,57
359.0,119.0,57
359.0,119.0,57
357.0,120.5,57
357.0,120.5,57
356.0,120.5,57
356.0,120.5,57
355.0,119.0,57
355.0,119.0,57
355.0,119.5,57
355.0,119.5,57
351.0,120.5,57
351.0,120.5,57
349.0,120.5,57
349.0,120.5,57
349.0,120.0,57
349.0,120.0,57
346.0,119.5,57
346.0,119.5,57
345.0,119.5,57
345.0,119.5,57
344.0,121.5,57
344.0,121.5,57
341.5,120.5,57
341.5,120.5,57
340.0,121.5,57
340.0,121.5,58
339.5,121.0,58
339.5,121.0,58
337.0,120.0,59
337.0,120.0,59
334.5,120.5,59
334.5,120.5,60
332.0,120.5,60
332.0,120.5,61
332.0,121.5,61
332.0,121.5,62
330.5,121.0,62
328.5,122.0,63
328.5,122.0,63
328.5,122.0,64
326.5,121.0,64
324.0,121.0,65
324.0,121.0,66
324.0,121.0,66
324.0,121.0,66
321.5,122.5,67
321.5,122.5,67
319.0,122.5,68
319.0,122.5,68
318.0,122.5,68
318.0,122.5,69
317.0,122.0,69
317.0,122.0,69
315.0,122.0,69
312.5,122.5,69
312.5,122.5,70
312.5,122.5,70
312.5,123.0,70
310.5,122.5,70
310.5,122.5,70
308.5,123.0,70
308.5,123.0,70
308.0,123.5,70
308.0,123.5,70
306.0,122.0,70
306.0,122.0,70
304.0,123.0,70
304.0,123.0,70
301.5,124.0,70
301.5,124.0,70
297.5,124.5,70
297.5,124.5,70
298.5,123.5,70
298.5,123.5,70
295.5,124.0,70
294.0,123.5,70
294.0,123.5,70
294.0,123.5,70
293.5,124.5,70
292.5,124.5,70
292.5,124.5,70
291.5,124.5,70
291.5,124.5,70
286.0,125.5,70
286.0,125.5,70
285.0,124.0,70
285.0,124.0,70
285.5,124.0,70
285.5,124.0,70
283.5,125.0,70
283.5,125.0,70
280.0,125.5,70
280.0,125.5,70
281.0,125.5,70
281.0,125.5,70
278.5,125.0,70
278.5,125.0,70
276.5,124.0,70
276.5,124.0,70
274.5,126.0,70
274.5,126.0,70
273.5,126.5,70
270.5,125.5,70
270.5,125.5,70
270.5,125.5,70
270.0,125.5,70
269.0,125.0,70
269.0,125.0,70
266.0,126.0,70
266.0,126.0,70
266.0,126.0,70
266.0,126.0,70
264.0,126.5,70
264.0,126.5,70
262.0,126.0,70
262.0,126.0,70
260.0,125.5,70
260.0,125.5,70
260.5,126.5,70
255.5,125.5,70
255.5,125.5,69
255.5,125.5,69
256.0,125.5,69
254.0,125.5,69
254.0,125.5,69
254.0,125.5,69
253.5,126.0,69
